index	chr	dom start	dom end	overlap %age	overlaps with	hier level
1	chr9	240000	38760000	0	-1	1
0	chr9	70240000	129240000	0	-1	1
130	chr9	129400000	129680000	0	-1	1
92	chr9	130320000	130760000	0	-1	1
62	chr9	130920000	131600000	0	-1	1
101	chr9	131720000	132120000	0	-1	1
65	chr9	132320000	132960000	0	-1	1
29	chr9	133000000	134240000	0	-1	1
66	chr9	134280000	134920000	0	-1	1
67	chr9	135240000	135880000	0	-1	1
165	chr9	136280000	136480000	0	-1	1
144	chr9	136640000	136880000	0	-1	1
89	chr9	136920000	137400000	0	-1	1
228	chr9	137600000	137680000	0	-1	1
254	chr9	137880000	137920000	0	-1	1
172	chr9	138160000	138320000	0	-1	1
230	chr9	138440000	138520000	0	-1	1
256	chr9	138920000	138960000	0	-1	1
257	chr9	139200000	139240000	0	-1	1
231	chr9	139360000	139440000	0	-1	1
173	chr9	139680000	139840000	0	-1	1
258	chr9	139960000	140000000	0	-1	1
43	chr9	240000	1040000	0.0207684319834	1	2
193	chr9	1280000	1360000	0.00207684319834	1	2
194	chr9	1520000	1600000	0.00207684319834	1	2
38	chr9	1920000	2840000	0.0238836967809	1	2
13	chr9	2880000	4680000	0.0467289719626	1	2
77	chr9	5800000	6320000	0.0134994807892	1	2
195	chr9	6440000	6520000	0.00207684319834	1	2
4	chr9	6840000	12680000	0.151609553479	1	2
11	chr9	12720000	14840000	0.055036344756	1	2
232	chr9	15040000	15080000	0.00103842159917	1	2
113	chr9	15200000	15520000	0.00830737279335	1	2
15	chr9	15720000	17480000	0.0456905503634	1	2
60	chr9	17520000	18200000	0.0176531671859	1	2
44	chr9	18240000	19040000	0.0207684319834	1	2
196	chr9	19080000	19160000	0.00207684319834	1	2
175	chr9	19320000	19440000	0.00311526479751	1	2
197	chr9	19560000	19640000	0.00207684319834	1	2
28	chr9	19920000	21200000	0.0332294911734	1	2
198	chr9	21280000	21360000	0.00207684319834	1	2
114	chr9	21480000	21800000	0.00830737279335	1	2
93	chr9	21840000	22240000	0.0103842159917	1	2
2	chr9	22280000	32360000	0.261682242991	1	2
199	chr9	32400000	32480000	0.00207684319834	1	2
234	chr9	32800000	32840000	0.00103842159917	1	2
147	chr9	33040000	33240000	0.00519210799585	1	2
148	chr9	33280000	33480000	0.00519210799585	1	2
103	chr9	33640000	34000000	0.00934579439252	1	2
166	chr9	34120000	34280000	0.00415368639668	1	2
176	chr9	34400000	34520000	0.00311526479751	1	2
34	chr9	34640000	35720000	0.0280373831776	1	2
56	chr9	35760000	36480000	0.018691588785	1	2
49	chr9	36680000	37440000	0.0197300103842	1	2
36	chr9	37480000	38480000	0.0259605399792	1	2
205	chr9	38680000	38760000	0.00207684319834	1	2
78	chr9	70320000	70840000	0.00881355932203	0	2
